Raw data,Code,Count
Help people write better captions (more helpful),Writing/speaking help,1
Help people write better,Writing/speaking help,1
Reduce people’s labor in modern writing work,Writing/speaking help,1
More natural sounding language/responses ,Writing/speaking help,1
"More natural speech, slang ",Writing/speaking help,1
Focus less on the style but more on the content ,Writing/speaking help,1
Efficiency,Efficiency ,1
Increase efficiency ,Efficiency ,1
Time-saving ,Efficiency ,1
"Saves money (no event planner, less lawyer fees) ",Efficiency ,1
Access to expert on almost any topic ,Professional help ,1
Faster time to diagnosis ,Professional help ,1
Medical help,Professional help ,1
Legal technicality ,Professional help ,1
"Preventing you from very silly outcomes (e.g., cancel protection)",Self-correction,1
People make fewer mistakes with virtual assistant--less harm to others of self,Self-correction,1
Censorship of hate speech ,Self-correction,1
Advocating on your behalf ,Advocacy ,1
Argue against tickets ,Advocacy ,1
Increased creativity,More creativity ,1
Facilitate new mechanisms of co-creation?creativity,More creativity ,1
Helping creativity by assisting brainstorming,More creativity ,1
Re-emphasize interpersonal ‘raw’ interactions ,More inter-personal interactions,1
Increase engagement,More inter-personal interactions,1
Teaching assistant help education,Education,1
Fast-learning,Education,1
Learning,Education,1
People more educated with readily accessible engaging information,Research help ,1
Helps scientific communication,Research help ,1
Find unnoticed link path and discover new scientific understanding,Research help ,1
Better discourse for mind philosophy ,Others ,1
Personalized outcomes,Others ,1
Human contact supplemented with / substituted for AI companion ? more emotional support,Others ,1
"Hype about AI ? more profit, public attention, PR exposure",Others ,1
